Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
327-U1363D-2X-1-A,327,U1363,D,2,2-1,X,1,A,0,71,198,198.71,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,,
327-U1363D-2X-1-A,327,U1363,D,2,2-1,X,1,A,71,91,198.71,198.91,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-2X-1-A,327,U1363,D,2,2-1,X,1,A,91,121,198.91,199.21,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,,
327-U1363D-2X-1-A,327,U1363,D,2,2-1,X,1,A,121,138,199.21,199.38,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-2X-1-A,327,U1363,D,2,2-1,X,1,A,138,142,199.38,199.42,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,,
327-U1363D-2X-CC-A,327,U1363,D,2,2-CC,X,CC,A,0,42,199.85,200.27,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,,
327-U1363D-3X-1-A,327,U1363,D,3,3-1,X,1,A,0,90,202.4,203.3,,clay [S54] ,,clay,,,,,"Shepard, 1954",with foraminiferal horizons,,,,,
327-U1363D-3X-1-A,327,U1363,D,3,3-1,X,1,A,90,150,203.3,203.9,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,,
327-U1363D-3X-2-A,327,U1363,D,3,3-2,X,2,A,0,16,203.9,204.06,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,,
327-U1363D-3X-2-A,327,U1363,D,3,3-2,X,2,A,16,40,204.06,204.3,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-3X-2-A,327,U1363,D,3,3-2,X,2,A,40,150,204.3,205.4,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-3X-3-A,327,U1363,D,3,3-3,X,3,A,0,150,205.4,206.9,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-3X-4-A,327,U1363,D,3,3-4,X,4,A,0,62,206.9,207.52,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-3X-CC-A,327,U1363,D,3,3-CC,X,CC,A,0,32,208.4,208.72,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-4X-1-A,327,U1363,D,4,4-1,X,1,A,0,49,212,212.49,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-4X-1-A,327,U1363,D,4,4-1,X,1,A,0,150,212,213.5,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-4X-2-A,327,U1363,D,4,4-2,X,2,A,0,150,213.5,215,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-4X-3-A,327,U1363,D,4,4-3,X,3,A,0,150,215,216.5,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-4X-4-A,327,U1363,D,4,4-4,X,4,A,0,92,216.5,217.42,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-4X-CC-A,327,U1363,D,4,4-CC,X,CC,A,0,35,217.42,217.77,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-5X-1-A,327,U1363,D,5,5-1,X,1,A,0,125,221.6,222.85,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-5X-CC-A,327,U1363,D,5,5-CC,X,CC,A,0,20,222.85,223.05,,silt [S54],,silt,,,,,"Shepard, 1954",,,,,,
327-U1363D-6X-1-A,327,U1363,D,6,6-1,X,1,A,0,10,231.2,231.3,,basalt,,basalt,,,,,Leg 323,,,,,,
